DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Nitrite,as N,Dissolved,,,,Below Detection/Quantification Limit,0.01,mg/l,Method Detection Level,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Nitrogen,,Dissolved,1.68,mg/L,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Nitrogen,,Total,1.79,mg/L,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Organic carbon,,Dissolved,40.8,mg/L,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Organic carbon,,Total,41,mg/L,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,pH,,,7.99,None,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Phosphorus,,Dissolved,0.024,mg/L,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Phosphorus,,Total,0.038,mg/L,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Potassium,,,14.4,mg/L,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Rubidium,,Dissolved,1.2,ug/L,,,,,,,,,,,,,,Taiga,
