DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
Mackenzie Hg in streamwater survey 2018-2020,Slave1,Slave River upstream of delta,61.447222,-113.6325,WGS84,,,,,River/Stream,Sample-Integrated Vertical Profile,Surface Water,2018-06-10,,,,,,DH-95,Specific conductance,,,216,uS/cm,Actual,,0.4,uS/cm,Method Detection Level,,,SM 2500:B,APHA,SM 2510B,,,,Taiga,
Mackenzie Hg in streamwater survey 2018-2020,Slave1,Slave River upstream of delta,61.447222,-113.6325,WGS84,,,,,River/Stream,Sample-Integrated Vertical Profile,Surface Water,2018-06-10,,,,,,DH-95,Sulfate,,Dissolved,20,mg/L,Actual,,1,mg/L,Method Detection Level,,,SM 4110:B,APHA,SM 4110B,,,,Taiga,
Mackenzie Hg in streamwater survey 2018-2020,Slave1,Slave River upstream of delta,61.447222,-113.6325,WGS84,,,,,River/Stream,Field Msr/Obs,Surface Water,2018-06-10,,,,,,Probe/Sensor,"Temperature, water",,,14.1,deg C,Actual,,0.1,deg C,Method Detection Level,,,,,,,,,,
Mackenzie Hg in streamwater survey 2018-2020,Slave1,Slave River upstream of delta,61.447222,-113.6325,WGS84,,,,,River/Stream,Sample-Integrated Vertical Profile,Surface Water,2018-06-10,,,,,,DH-95,Total dissolved solids,,,144,mg/L,Actual,,10,mg/L,Method Detection Level,,,SM 2540:C,APHA,SM 2540D,,,,Taiga,
Mackenzie Hg in streamwater survey 2018-2020,Slave1,Slave River upstream of delta,61.447222,-113.6325,WGS84,,,,,River/Stream,Sample-Integrated Vertical Profile,Surface Water,2018-06-10,,,,,,DH-95,Total suspended solids,,,218,mg/L,Actual,,3,mg/L,Method Detection Level,,,SM 2540:D,APHA,SM 2540C,,,,Taiga,
Mackenzie Hg in streamwater survey 2018-2020,Slave1,Slave River upstream of delta,61.447222,-113.6325,WGS84,,,,,River/Stream,Field Msr/Obs,Surface Water,2018-06-10,,,,,,Probe/Sensor,Turbidity,,,149.4,FNU,Actual,,1,FNU,Method Detection Level,,,,,,,,,,
Mackenzie Hg in streamwater survey 2018-2020,Slave1,Slave River upstream of delta,61.447222,-113.6325,WGS84,,,,,River/Stream,Sample-Integrated Vertical Profile,Surface Water,2018-06-10,,,,,,DH-95,Turbidity,,,202,NTU,Actual,,0.05,NTU,Method Detection Level,,,SM 2130:B,APHA,SM 2130B,,,,Taiga,
Mackenzie Hg in streamwater survey 2018-2020,Slave2,Slave River at Fort Fitzgerald,59.987222,-111.830278,WGS84,,,,,River/Stream,Sample-Integrated Vertical Profile,Surface Water,2018-06-11,,,,,,DH-95,"Alkalinity, total",as CaCO3,,85.2,mg/L,Actual,,0.1,mg/L,Method Detection Level,,,SM 2320:B,APHA,SM 2320B,,,,Taiga,
Mackenzie Hg in streamwater survey 2018-2020,Slave2,Slave River at Fort Fitzgerald,59.987222,-111.830278,WGS84,,,,,River/Stream,Sample-Integrated Vertical Profile,Surface Water,2018-06-11,,,,,,DH-95,Calcium,,Dissolved,26,mg/L,Actual,,0.1,mg/L,Method Detection Level,,,SM 4110:B,APHA,SM 4110B,,,,Taiga,
Mackenzie Hg in streamwater survey 2018-2020,Slave2,Slave River at Fort Fitzgerald,59.987222,-111.830278,WGS84,,,,,River/Stream,Field Msr/Obs,Surface Water,2018-06-11,,,,,,Probe/Sensor,Depth of water column,,,0.15,m,Actual,,0.01,m,Method Detection Level,,,,,,,,,,
Mackenzie Hg in streamwater survey 2018-2020,Slave2,Slave River at Fort Fitzgerald,59.987222,-111.830278,WGS84,,,,,River/Stream,Field Msr/Obs,Surface Water,2018-06-11,,,,,,Probe/Sensor,Dissolved oxygen saturation,,,14.6,%,Actual,,0.1,%,Method Detection Level,,,,,,,,,,
Mackenzie Hg in streamwater survey 2018-2020,Slave2,Slave River at Fort Fitzgerald,59.987222,-111.830278,WGS84,,,,,River/Stream,Sample-Integrated Vertical Profile,Surface Water,2018-06-11,,,,,,DH-95,Magnesium,,Dissolved,7.9,mg/L,Actual,,0.1,mg/L,Method Detection Level,,,SM 4110:B,APHA,SM 4110B,,,,Taiga,
Mackenzie Hg in streamwater survey 2018-2020,Slave2,Slave River at Fort Fitzgerald,59.987222,-111.830278,WGS84,,,,,River/Stream,Sample-Integrated Vertical Profile,Surface Water,2018-06-11,,,,,,DH-95,Mercury,,Dissolved,2.8,ng/L,Actual,,,ng/L,Method Detection Level,,,1631:E,USEPA,1631E,,,,Trent University,
Mackenzie Hg in streamwater survey 2018-2020,Slave2,Slave River at Fort Fitzgerald,59.987222,-111.830278,WGS84,,,,,River/Stream,Sample-Integrated Vertical Profile,Surface Water,2018-06-11,,,,,,DH-95,Organic carbon,,Dissolved,5.3,mg/L,Actual,,0.5,mg/L,Method Detection Level,,,SM 5310:B,APHA,SM 5310B,,,,Taiga,
Mackenzie Hg in streamwater survey 2018-2020,Slave2,Slave River at Fort Fitzgerald,59.987222,-111.830278,WGS84,,,,,River/Stream,Sample-Integrated Vertical Profile,Surface Water,2018-06-11,,,,,,DH-95,Organic carbon,,Total,5.3,mg/L,Actual,,0.5,mg/L,Method Detection Level,,,SM 5310:B,APHA,SM 5310B,,,,Taiga,
Mackenzie Hg in streamwater survey 2018-2020,Slave2,Slave River at Fort Fitzgerald,59.987222,-111.830278,WGS84,,,,,River/Stream,Field Msr/Obs,Surface Water,2018-06-11,,,,,,Probe/Sensor,pH,,,7.66,None,Actual,,,None,Method Detection Level,,,,,,,,,,
Mackenzie Hg in streamwater survey 2018-2020,Slave2,Slave River at Fort Fitzgerald,59.987222,-111.830278,WGS84,,,,,River/Stream,Sample-Integrated Vertical Profile,Surface Water,2018-06-11,,,,,,DH-95,pH,,,8.13,None,Actual,,,None,Method Detection Level,,,SM 4500-H:B,APHA,SM 4500 H+B,,,,Taiga,
Mackenzie Hg in streamwater survey 2018-2020,Slave2,Slave River at Fort Fitzgerald,59.987222,-111.830278,WGS84,,,,,River/Stream,Sample-Integrated Vertical Profile,Surface Water,2018-06-11,,,,,,DH-95,Potassium,,Dissolved,1.1,mg/L,Actual,,0.1,mg/L,Method Detection Level,,,SM 4110:B,APHA,SM 4110B,,,,Taiga,
Mackenzie Hg in streamwater survey 2018-2020,Slave2,Slave River at Fort Fitzgerald,59.987222,-111.830278,WGS84,,,,,River/Stream,Sample-Integrated Vertical Profile,Surface Water,2018-06-11,,,,,,DH-95,Sodium,,Dissolved,5,mg/L,Actual,,0.1,mg/L,Method Detection Level,,,SM 4110:B,APHA,SM 4110B,,,,Taiga,
